pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
50134584001FRE,34.570000,0.000000,1,0.100000,1,34.570000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50134834001FRE,47.140000,0.000000,1,0.100000,1,47.140000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50134836001FRE,3.820000,0.000000,1,0.100000,1,3.820000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50135131011FRE,31.040000,0.000000,1,0.100000,1,31.040000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50136427001FRE,3.450000,0.000000,1,0.100000,1,3.450000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50137983001FRE,31.680000,0.000000,1,0.100000,1,31.680000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50138978001FRE,15.710000,0.000000,1,0.100000,1,15.710000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50138983001FRE,15.710000,0.000000,1,0.100000,1,15.710000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50141725002FRE,15.710000,0.000000,1,0.100000,1,15.710000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50142888001FRE,21.480000,0.000000,1,0.100000,1,21.480000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50144297001FRE,47.520000,0.000000,1,0.100000,1,47.520000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
50147632001FRE,45.810000,0.000000,1,0.100000,1,45.810000,0.000000,0.300000,0.090000,CAT_UNKNOWN_HEAVY
